DHB,Grouped DHB,Additional notes:
Auckland,Auckland Metro,Numbers include all records entered as at
Counties Manukau,Auckland Metro,Date that the Data in thie report is extracted is
Waitemata,Auckland Metro,Data is based on records entered into CIR as at the time of data upload
Capital and Coast,Capital & Coast and Hutt Valley,DHB of residence is based on the primary residential address MoH has for the individual mapped to the DHB zones.
Hutt Valley,Capital & Coast and Hutt Valley,DHB of Residence being Overseas and Undefined is a grouped category that includes all those that normally reside overseas as well as those where we do not have a residential address on record
Bay of Plenty,Bay of Plenty,"Other sites refers to nationally led programmes, e.g. NZDF, NZPolice, St John etc."
Canterbury,Canterbury,"Where a number is less than 5, the record is suppressed to protect individual privacy, as a result, totals of individual records may not sum to gross figures."
Hawke’s Bay,Hawke’s Bay,
Lakes,Lakes,
MidCentral,MidCentral,
Nelson Marlborough,Nelson Marlborough,
Northland,Northland,
South Canterbury,South Canterbury,
Southern,Southern,
Tairawhiti,Tairawhiti,
Taranaki,Taranaki,
Waikato,Waikato,
Wairarapa,Wairarapa,
West Coast,West Coast,
Whanganui,Whanganui,
National,Other sites,
Other sites,Other sites,
Hawke's Bay,Hawke's Bay,
